url,en,cn
http://news.iciba.com/dailysentence/detail-1946.html,"Human life,like flood water and do not hear of islands and reefs,it is difficult to create beautiful waves.", 人的生命，似洪水奔流，不遇着岛屿和暗礁，难以激起美丽的浪花。
http://news.iciba.com/dailysentence/detail-1941.html,"But all sunshine without shade, all pleasure without pain, is not life at all. ", 但只有阳光没有阴影，只有快乐没有痛苦，根本不是真正的生活。 
http://news.iciba.com/dailysentence/detail-1937.html,"Don't know if we each have a destiny, or if we’re all just floating around accidental—like on a breeze.", 我不懂我们是否有着各自的命运，还是只是到处随风飘荡。 
http://news.iciba.com/dailysentence/detail-1935.html,Sadness is easier because its surrender., 悲伤很容易，因为那是投降。
http://news.iciba.com/dailysentence/detail-1943.html,The cloud stood humbly in a corner of the sky. The morning crowned it with splendor., 白云谦卑地站在天边，晨光给它披上壮丽的光彩。--泰戈尔
http://news.iciba.com/dailysentence/detail-1933.html,"The more we do, the more we can do. The busier we are, the more leisure we have.", 事越做越会做，人越忙越有空。
http://news.iciba.com/dailysentence/detail-1945.html,Baby you've done enough that cut your breath.Don't beat yourself up don't need to turn so fast.Sometimes we come last but we did our best., 你已经受够了白费力气，请不要自暴自弃，也不必太快抽离，有时我们终能实现梦想只要我们竭尽全力。
http://news.iciba.com/dailysentence/detail-1939.html," We must hang together, or we'll be hanged separately.", 我们必须团结在一起，否则我们将被一个个绞死。 
url,en,cn
http://news.iciba.com/dailysentence/detail-1935.html,Sadness is easier because its surrender., 悲伤很容易，因为那是投降。
http://news.iciba.com/dailysentence/detail-1937.html,"Don't know if we each have a destiny, or if we’re all just floating around accidental—like on a breeze.", 我不懂我们是否有着各自的命运，还是只是到处随风飘荡。 
http://news.iciba.com/dailysentence/detail-1946.html,"Human life,like flood water and do not hear of islands and reefs,it is difficult to create beautiful waves.", 人的生命，似洪水奔流，不遇着岛屿和暗礁，难以激起美丽的浪花。
http://news.iciba.com/dailysentence/detail-1933.html,"The more we do, the more we can do. The busier we are, the more leisure we have.", 事越做越会做，人越忙越有空。
